Test Case,Latency
University of Toronto went bankrupt,0.07231616973876953
University of Toronto went bankrupt,0.054869890213012695
University of Toronto went bankrupt,0.11410808563232422
University of Toronto went bankrupt,0.0540158748626709
University of Toronto went bankrupt,0.14310598373413086
University of Toronto went bankrupt,0.06526517868041992
University of Toronto went bankrupt,0.05389690399169922
University of Toronto went bankrupt,0.06140017509460449
University of Toronto went bankrupt,0.15215587615966797
University of Toronto went bankrupt,0.05482816696166992
University of Toronto went bankrupt,0.14121508598327637
University of Toronto went bankrupt,0.05225419998168945
University of Toronto went bankrupt,0.05314207077026367
University of Toronto went bankrupt,0.053572893142700195
University of Toronto went bankrupt,0.05426383018493652
University of Toronto went bankrupt,0.11513924598693848
University of Toronto went bankrupt,0.05564379692077637
University of Toronto went bankrupt,0.13959598541259766
University of Toronto went bankrupt,0.1082160472869873
University of Toronto went bankrupt,0.054535865783691406
University of Toronto went bankrupt,0.0556340217590332
University of Toronto went bankrupt,0.15630793571472168
University of Toronto went bankrupt,0.0555729866027832
University of Toronto went bankrupt,0.14621496200561523
University of Toronto went bankrupt,0.0707848072052002
University of Toronto went bankrupt,0.06337809562683105
University of Toronto went bankrupt,0.140733003616333
University of Toronto went bankrupt,0.05549883842468262
University of Toronto went bankrupt,0.1396620273590088
University of Toronto went bankrupt,0.05750012397766113
University of Toronto went bankrupt,0.10976409912109375
University of Toronto went bankrupt,0.06330585479736328
University of Toronto went bankrupt,0.15449309349060059
University of Toronto went bankrupt,0.14545202255249023
University of Toronto went bankrupt,0.058229923248291016
University of Toronto went bankrupt,0.05588889122009277
University of Toronto went bankrupt,0.08034610748291016
University of Toronto went bankrupt,0.1285543441772461
University of Toronto went bankrupt,0.05456995964050293
University of Toronto went bankrupt,0.14148283004760742
University of Toronto went bankrupt,0.054531097412109375
University of Toronto went bankrupt,0.0888371467590332
University of Toronto went bankrupt,0.07241225242614746
Kamala Harris is a 2024 presedential candidate,0.11307692527770996
Kamala Harris is a 2024 presedential candidate,0.0673820972442627
Kamala Harris is a 2024 presedential candidate,0.12842893600463867
Kamala Harris is a 2024 presedential candidate,0.06766986846923828
Kamala Harris is a 2024 presedential candidate,0.055113792419433594
Kamala Harris is a 2024 presedential candidate,0.05669403076171875
Kamala Harris is a 2024 presedential candidate,0.15072083473205566
Kamala Harris is a 2024 presedential candidate,0.05798697471618652
Kamala Harris is a 2024 presedential candidate,0.13557887077331543
Kamala Harris is a 2024 presedential candidate,0.059523820877075195
Kamala Harris is a 2024 presedential candidate,0.057151079177856445
Kamala Harris is a 2024 presedential candidate,0.06514716148376465
Kamala Harris is a 2024 presedential candidate,0.14554286003112793
Kamala Harris is a 2024 presedential candidate,0.05293917655944824
